best_epoch,best_loss,final_epoch,patience,module,module__num_units,module__activation,optimizer,lr
500,0.0620584035559504,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.01
494,0.0614632511248088,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.01
325,0.0656835575304984,425,100,SimpleNeuralNet,15,Sigmoid,Adam,0.01
489,0.041251087727201,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.01
500,0.083043852689695,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.01
500,0.0911514149622574,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.01
500,0.0660114413634933,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.01
436,0.0563793309659074,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.01
494,0.0566059658373971,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.01
500,0.0350653725477713,500,100,SimpleNeuralNet,20,Sigmoid,Adam,0.01
500,0.0780308928742378,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.01
500,0.0856720474371348,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.01
500,0.0616661102635792,500,100,SimpleNeuralNet,20,Sigmoid,SGD,0.01
499,0.0539671177103288,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.01
497,0.0524450299441237,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.01
486,0.0320218377066129,500,100,SimpleNeuralNet,25,Sigmoid,Adam,0.01
500,0.0801136630822008,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.01
500,0.0856833092317026,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.01
500,0.0610299383800346,500,100,SimpleNeuralNet,25,Sigmoid,SGD,0.01
482,0.0504092720639853,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.01
495,0.0510087802724111,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.01
491,0.0303880477485592,500,100,SimpleNeuralNet,30,Sigmoid,Adam,0.01
500,0.0785421080099292,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.01
500,0.0861898776035612,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.01
500,0.0584611771502855,500,100,SimpleNeuralNet,30,Sigmoid,SGD,0.01
496,0.0713518861126784,500,100,SimpleNeuralNet,10,ReLU,Adam,0.001
474,0.0759463785867276,500,100,SimpleNeuralNet,10,ReLU,Adam,0.001
477,0.0470765923304336,500,100,SimpleNeuralNet,10,ReLU,Adam,0.001
500,0.0817891404658704,500,100,SimpleNeuralNet,10,ReLU,SGD,0.001
500,0.1003493532939069,500,100,SimpleNeuralNet,10,ReLU,SGD,0.001
500,0.0772516698924078,500,100,SimpleNeuralNet,10,ReLU,SGD,0.001
495,0.0649961003538745,500,100,SimpleNeuralNet,15,ReLU,Adam,0.001
493,0.0692926909845858,500,100,SimpleNeuralNet,15,ReLU,Adam,0.001
495,0.0435576046162534,500,100,SimpleNeuralNet,15,ReLU,Adam,0.001
500,0.0839573030967188,500,100,SimpleNeuralNet,15,ReLU,SGD,0.001
499,0.0901783006303821,500,100,SimpleNeuralNet,15,ReLU,SGD,0.001
500,0.0755925792065275,500,100,SimpleNeuralNet,15,ReLU,SGD,0.001
471,0.059776499235192,500,100,SimpleNeuralNet,20,ReLU,Adam,0.001
